url,name,id
https://www.praktiker.hu/,Praktiker,DC909C80
https://univerexport.rs/,Univerexport,4949B8FC
https://www.studenac.hr/en/,Studenac,45935689
https://www.aldi.hu/hu/homepage.html,Aldi ,A31283FE
https://www.conad.it/,Conad ,6B5B1C96
https://www.lidl.fr/,Lidl ,F37C61BC
https://www.maxi.rs/,Maxi ,D3B7FD50
https://www.idea.rs/,Idea ,6ECDA68B
https://www.kaufland.de/,Kaufland ,8053D14E
https://www.plodine.hr/,Plodine ,A1BCA267
https://pevex.hr/,Pevex,799510C9
https://www.eurospin.it/,EuroSpin,B04A8108
https://kortmarketi.com/,Kort Marketi,3AA582C1
https://www.lilly.rs/,Lilly Drogerie ,8AE39811
https://www.dis.rs/,DIS,CE373D0D
https://www.mueller.hr/,Müller,C8A6B404
https://www.bipa.hr/,Bipa ,A655A630
https://www.metro-cc.hr/,Metro ,E9BA3E2A
https://bulmag.org/,BulMag,A4377097
https://bulmag.org/,BulMag,A43a77097
