url,name ,id
https://www.cungu.com/,Cungu,45935689
https://www.primark.com/de-at,Primark ,A31283FE
https://cocoozy.be/,CoCoozy,F37C61BC
https://www.moemax.hr/,Mömax,D3B7FD50
https://www.kaercher.com/int/,Kaercher,6ECDA68B
https://www.ginatricot.com,Gina Tricot,8053D14E
https://www.weekday.com/en-dk,WeekDay,A1BCA267
https://shop.mango.com/dk/en,Mango ,799510C9
https://dk.tommy.com/,Tommy Hilfiger,B04A8108
https://www.stradivarius.com/dk/en/,Stradivarius,3AA582C1
https://mbym-shop.com/da-dk,mbyM,8AE39811
https://www.michaelkors.eu/,Michael Kors,CE373D0D
https://www.swarovski.com/,Swarovski,C8A6B404
https://www.nike.com/,Nike,A655A630
https://rezetstore.com/en,Rezet Store,E9BA3E2A
https://nakedcph.com/,Naked Copenhagen,A4377097
